[2016-09-06 07:42:48,211][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:42:48,211][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:42:50,152][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:42:50,153][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:42:50,153][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:42:50,154][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:42:50,155][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` WHERE `background_service`.`name` = 'LinuxNetwork'; args=(u'LinuxNetwork',)
[2016-09-06 07:42:50,158][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:42:50,159][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:42:50,160][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo` FROM `background_trigger` INNER JOIN `background_template_triggers` ON (`background_trigger`.`id` = `background_template_triggers`.`trigger_id`) WHERE `background_template_triggers`.`template_id` = 1; args=(1,)
[2016-09-06 07:42:50,161][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:42:50,162][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_triggerexpression`.`id`, `background_triggerexpression`.`trigger_id`, `background_triggerexpression`.`service_id`, `background_triggerexpression`.`service_index_id`, `background_triggerexpression`.`specified_index_key`, `background_triggerexpression`.`operator_type`, `background_triggerexpression`.`data_calc_func`, `background_triggerexpression`.`data_calc_args`, `background_triggerexpression`.`threshold`, `background_triggerexpression`.`logic_type`, `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo`, `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo`, `background_serviceindex`.`id`, `background_serviceindex`.`name`, `background_serviceindex`.`key`, `background_serviceindex`.`data_type`, `background_serviceindex`.`memo` FROM `background_triggerexpression` INNER JOIN `background_trigger` ON (`background_triggerexpression`.`trigger_id` = `background_trigger`.`id`) INNER JOIN `background_service` ON (`background_triggerexpression`.`service_id` = `background_service`.`id`) INNER JOIN `background_serviceindex` ON (`background_triggerexpression`.`service_index_id` = `background_serviceindex`.`id`) WHERE `background_triggerexpression`.`trigger_id` = 1 ORDER BY `background_triggerexpression`.`id` ASC; args=(1,)
[2016-09-06 07:42:52,145][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:42:52,145][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:42:54,141][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:42:54,141][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:42:55,158][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:42:55,158][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:42:55,159][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:42:55,160][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:42:55,161][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` INNER JOIN `background_template_services` ON (`background_service`.`id` = `background_template_services`.`service_id`) WHERE `background_template_services`.`template_id` = 1; args=(1,)
[2016-09-06 07:42:55,162][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:42:55,171][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:42:55,172][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:42:55,172][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` WHERE `background_service`.`name` = 'LinuxMemory'; args=(u'LinuxMemory',)
[2016-09-06 07:42:55,175][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:42:55,176][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:42:55,177][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo` FROM `background_trigger` INNER JOIN `background_template_triggers` ON (`background_trigger`.`id` = `background_template_triggers`.`trigger_id`) WHERE `background_template_triggers`.`template_id` = 1; args=(1,)
[2016-09-06 07:42:55,178][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:42:55,179][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_triggerexpression`.`id`, `background_triggerexpression`.`trigger_id`, `background_triggerexpression`.`service_id`, `background_triggerexpression`.`service_index_id`, `background_triggerexpression`.`specified_index_key`, `background_triggerexpression`.`operator_type`, `background_triggerexpression`.`data_calc_func`, `background_triggerexpression`.`data_calc_args`, `background_triggerexpression`.`threshold`, `background_triggerexpression`.`logic_type`, `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo`, `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo`, `background_serviceindex`.`id`, `background_serviceindex`.`name`, `background_serviceindex`.`key`, `background_serviceindex`.`data_type`, `background_serviceindex`.`memo` FROM `background_triggerexpression` INNER JOIN `background_trigger` ON (`background_triggerexpression`.`trigger_id` = `background_trigger`.`id`) INNER JOIN `background_service` ON (`background_triggerexpression`.`service_id` = `background_service`.`id`) INNER JOIN `background_serviceindex` ON (`background_triggerexpression`.`service_index_id` = `background_serviceindex`.`id`) WHERE `background_triggerexpression`.`trigger_id` = 1 ORDER BY `background_triggerexpression`.`id` ASC; args=(1,)
[2016-09-06 07:42:56,151][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:42:56,151][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:42:58,148][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:42:58,148][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:42:58,174][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:42:58,175][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:42:58,175][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` WHERE `background_service`.`name` = 'LinuxCpu'; args=(u'LinuxCpu',)
[2016-09-06 07:42:58,178][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:42:58,179][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:42:58,180][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo` FROM `background_trigger` INNER JOIN `background_template_triggers` ON (`background_trigger`.`id` = `background_template_triggers`.`trigger_id`) WHERE `background_template_triggers`.`template_id` = 1; args=(1,)
[2016-09-06 07:42:58,181][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:42:58,182][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_triggerexpression`.`id`, `background_triggerexpression`.`trigger_id`, `background_triggerexpression`.`service_id`, `background_triggerexpression`.`service_index_id`, `background_triggerexpression`.`specified_index_key`, `background_triggerexpression`.`operator_type`, `background_triggerexpression`.`data_calc_func`, `background_triggerexpression`.`data_calc_args`, `background_triggerexpression`.`threshold`, `background_triggerexpression`.`logic_type`, `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo`, `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo`, `background_serviceindex`.`id`, `background_serviceindex`.`name`, `background_serviceindex`.`key`, `background_serviceindex`.`data_type`, `background_serviceindex`.`memo` FROM `background_triggerexpression` INNER JOIN `background_trigger` ON (`background_triggerexpression`.`trigger_id` = `background_trigger`.`id`) INNER JOIN `background_service` ON (`background_triggerexpression`.`service_id` = `background_service`.`id`) INNER JOIN `background_serviceindex` ON (`background_triggerexpression`.`service_index_id` = `background_serviceindex`.`id`) WHERE `background_triggerexpression`.`trigger_id` = 1 ORDER BY `background_triggerexpression`.`id` ASC; args=(1,)
[2016-09-06 07:43:00,141][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:43:00,141][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:43:00,175][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:43:00,175][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:43:00,176][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` WHERE `background_service`.`name` = 'LinuxNetwork'; args=(u'LinuxNetwork',)
[2016-09-06 07:43:00,178][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:43:00,179][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:43:00,180][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo` FROM `background_trigger` INNER JOIN `background_template_triggers` ON (`background_trigger`.`id` = `background_template_triggers`.`trigger_id`) WHERE `background_template_triggers`.`template_id` = 1; args=(1,)
[2016-09-06 07:43:00,181][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:43:00,182][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_triggerexpression`.`id`, `background_triggerexpression`.`trigger_id`, `background_triggerexpression`.`service_id`, `background_triggerexpression`.`service_index_id`, `background_triggerexpression`.`specified_index_key`, `background_triggerexpression`.`operator_type`, `background_triggerexpression`.`data_calc_func`, `background_triggerexpression`.`data_calc_args`, `background_triggerexpression`.`threshold`, `background_triggerexpression`.`logic_type`, `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo`, `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo`, `background_serviceindex`.`id`, `background_serviceindex`.`name`, `background_serviceindex`.`key`, `background_serviceindex`.`data_type`, `background_serviceindex`.`memo` FROM `background_triggerexpression` INNER JOIN `background_trigger` ON (`background_triggerexpression`.`trigger_id` = `background_trigger`.`id`) INNER JOIN `background_service` ON (`background_triggerexpression`.`service_id` = `background_service`.`id`) INNER JOIN `background_serviceindex` ON (`background_triggerexpression`.`service_index_id` = `background_serviceindex`.`id`) WHERE `background_triggerexpression`.`trigger_id` = 1 ORDER BY `background_triggerexpression`.`id` ASC; args=(1,)
[2016-09-06 07:43:02,143][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:43:02,143][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:43:04,143][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:43:04,143][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:43:05,181][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:43:05,182][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:43:05,182][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:43:05,183][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:43:05,184][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` INNER JOIN `background_template_services` ON (`background_service`.`id` = `background_template_services`.`service_id`) WHERE `background_template_services`.`template_id` = 1; args=(1,)
[2016-09-06 07:43:05,185][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:43:05,194][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:43:05,194][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:43:05,195][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` WHERE `background_service`.`name` = 'LinuxMemory'; args=(u'LinuxMemory',)
[2016-09-06 07:43:05,197][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:43:05,198][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:43:05,199][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo` FROM `background_trigger` INNER JOIN `background_template_triggers` ON (`background_trigger`.`id` = `background_template_triggers`.`trigger_id`) WHERE `background_template_triggers`.`template_id` = 1; args=(1,)
[2016-09-06 07:43:05,200][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:43:05,201][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_triggerexpression`.`id`, `background_triggerexpression`.`trigger_id`, `background_triggerexpression`.`service_id`, `background_triggerexpression`.`service_index_id`, `background_triggerexpression`.`specified_index_key`, `background_triggerexpression`.`operator_type`, `background_triggerexpression`.`data_calc_func`, `background_triggerexpression`.`data_calc_args`, `background_triggerexpression`.`threshold`, `background_triggerexpression`.`logic_type`, `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo`, `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo`, `background_serviceindex`.`id`, `background_serviceindex`.`name`, `background_serviceindex`.`key`, `background_serviceindex`.`data_type`, `background_serviceindex`.`memo` FROM `background_triggerexpression` INNER JOIN `background_trigger` ON (`background_triggerexpression`.`trigger_id` = `background_trigger`.`id`) INNER JOIN `background_service` ON (`background_triggerexpression`.`service_id` = `background_service`.`id`) INNER JOIN `background_serviceindex` ON (`background_triggerexpression`.`service_index_id` = `background_serviceindex`.`id`) WHERE `background_triggerexpression`.`trigger_id` = 1 ORDER BY `background_triggerexpression`.`id` ASC; args=(1,)
[2016-09-06 07:43:06,145][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:43:06,145][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:43:08,141][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:43:08,149][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:43:08,195][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:43:08,195][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:43:08,196][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` WHERE `background_service`.`name` = 'LinuxCpu'; args=(u'LinuxCpu',)
[2016-09-06 07:43:08,199][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:43:08,200][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:43:08,201][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo` FROM `background_trigger` INNER JOIN `background_template_triggers` ON (`background_trigger`.`id` = `background_template_triggers`.`trigger_id`) WHERE `background_template_triggers`.`template_id` = 1; args=(1,)
[2016-09-06 07:43:08,201][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
